age_years,meausure_name,metric_id,metric_name,ifr_agespecific_mean,ifr_agespecific_lower,ifr_agespecific_upper
1,Infection-fatality ratio,2,Percent,0.0054,0.0021,0.0114
2,Infection-fatality ratio,2,Percent,0.004,0.002,0.007
3,Infection-fatality ratio,2,Percent,0.0032,0.0019,0.0051
4,Infection-fatality ratio,2,Percent,0.0027,0.0018,0.0043
5,Infection-fatality ratio,2,Percent,0.0024,0.0017,0.0039
6,Infection-fatality ratio,2,Percent,0.0023,0.0016,0.0038
7,Infection-fatality ratio,2,Percent,0.0023,0.0015,0.0039
8,Infection-fatality ratio,2,Percent,0.0023,0.0015,0.0042
9,Infection-fatality ratio,2,Percent,0.0025,0.0016,0.0046
10,Infection-fatality ratio,2,Percent,0.0028,0.0018,0.005
11,Infection-fatality ratio,2,Percent,0.0031,0.0021,0.0056
12,Infection-fatality ratio,2,Percent,0.0036,0.0024,0.0063
13,Infection-fatality ratio,2,Percent,0.0042,0.0028,0.0073
14,Infection-fatality ratio,2,Percent,0.005,0.0034,0.0084
15,Infection-fatality ratio,2,Percent,0.006,0.0041,0.0097
16,Infection-fatality ratio,2,Percent,0.0071,0.005,0.0113
17,Infection-fatality ratio,2,Percent,0.0085,0.006,0.0134
18,Infection-fatality ratio,2,Percent,0.01,0.0071,0.0157
19,Infection-fatality ratio,2,Percent,0.0118,0.0084,0.0183
20,Infection-fatality ratio,2,Percent,0.0138,0.0098,0.0214
21,Infection-fatality ratio,2,Percent,0.0162,0.0114,0.025
22,Infection-fatality ratio,2,Percent,0.0188,0.0133,0.0292
23,Infection-fatality ratio,2,Percent,0.0219,0.0153,0.0335
24,Infection-fatality ratio,2,Percent,0.0254,0.0178,0.0385
25,Infection-fatality ratio,2,Percent,0.0293,0.0207,0.0441
26,Infection-fatality ratio,2,Percent,0.0337,0.0241,0.0504
27,Infection-fatality ratio,2,Percent,0.0386,0.028,0.0575
28,Infection-fatality ratio,2,Percent,0.0442,0.0324,0.0658
29,Infection-fatality ratio,2,Percent,0.0504,0.0372,0.0757
