"","County","Date","Count","AgeGrp"
"1","Alamance","2020-09-04",0,"Ages 25-49"
"2","Alamance","2020-08-08",0,"Ages 25-49"
"3","Alamance","2020-08-10",0,"Ages 25-49"
"4","Alamance","2020-08-13",0,"Ages 25-49"
"5","Alamance","2020-12-06",0,"Ages 25-49"
"6","Alamance","2020-08-07",0,"Ages 25-49"
"7","Alamance","2020-08-09",0,"Ages 25-49"
"8","Alamance","2020-06-27",0,"Ages 25-49"
"9","Alamance","2020-08-25",0,"Ages 25-49"
"10","Alamance","2020-08-11",0,"Ages 25-49"
"11","Alamance","2020-08-12",0,"Ages 25-49"
"12","Alamance","2020-09-05",0,"Ages 25-49"
"13","Alamance","2020-08-22",0,"Ages 25-49"
"14","Alamance","2020-05-06",0,"Ages 25-49"
"15","Alamance","2020-08-21",0,"Ages 25-49"
"16","Alamance","2020-08-27",0,"Ages 25-49"
"17","Alamance","2020-08-24",0,"Ages 25-49"
"18","Alamance","2020-05-07",0,"Ages 25-49"
"19","Alamance","2020-05-03",0,"Ages 25-49"
"20","Alamance","2020-08-06",0,"Ages 25-49"
"21","Alamance","2020-12-17",0,"Ages 25-49"
"22","Alamance","2020-05-05",0,"Ages 25-49"
"23","Alamance","2020-08-20",0,"Ages 25-49"
"24","Alamance","2020-06-29",0,"Ages 25-49"
"25","Alamance","2020-12-07",1,"Ages 25-49"
"26","Alamance","2020-12-08",0,"Ages 25-49"
"27","Alamance","2020-06-28",0,"Ages 25-49"
"28","Alamance","2020-08-14",0,"Ages 25-49"
"29","Alamance","2020-08-15",0,"Ages 25-49"
"30","Alamance","2020-08-16",0,"Ages 25-49"
"31","Alamance","2020-12-09",1,"Ages 25-49"
"32","Alamance","2020-06-24",0,"Ages 25-49"
"33","Alamance","2020-12-16",0,"Ages 25-49"
"34","Alamance","2020-06-26",0,"Ages 25-49"
"35","Alamance","2020-08-05",0,"Ages 25-49"
"36","Alamance","2020-12-18",0,"Ages 25-49"
"37","Alamance","2020-12-19",0,"Ages 25-49"
"38","Alamance","2020-12-20",0,"Ages 25-49"
"39","Alamance","2020-08-23",0,"Ages 25-49"
"40","Alamance","2020-12-21",0,"Ages 25-49"
"41","Alamance","2020-12-22",0,"Ages 25-49"
"42","Alamance","2020-08-26",0,"Ages 25-49"
"43","Alamance","2020-12-24",0,"Ages 25-49"
"44","Alamance","2020-08-17",0,"Ages 25-49"
"45","Alamance","2020-08-18",0,"Ages 25-49"
"46","Alamance","2020-08-19",0,"Ages 25-49"
"47","Alamance","2020-04-16",0,"Ages 25-49"
"48","Alamance","2020-04-17",0,"Ages 25-49"
"49","Alamance","2020-09-02",0,"Ages 25-49"
"50","Alamance","2020-09-03",0,"Ages 25-49"
"51","Alamance","2020-07-24",0,"Ages 25-49"
"52","Alamance","2020-05-04",0,"Ages 25-49"
"53","Alamance","2020-06-17",1,"Ages 25-49"
"54","Alamance","2020-06-18",0,"Ages 25-49"
"55","Alamance","2020-06-19",0,"Ages 25-49"
"56","Alamance","2020-06-20",0,"Ages 25-49"
"57","Alamance","2020-08-28",0,"Ages 25-49"
"58","Alamance","2020-08-29",0,"Ages 25-49"
"59","Alamance","2020-10-18",0,"Ages 25-49"
"60","Alamance","2020-06-25",0,"Ages 25-49"
"61","Alamance","2020-10-20",0,"Ages 25-49"
"62","Alamance","2020-10-21",0,"Ages 25-49"
"63","Alamance","2020-04-05",0,"Ages 25-49"
"64","Alamance","2020-04-06",0,"Ages 25-49"
"65","Alamance","2020-04-07",0,"Ages 25-49"
"66","Alamance","2020-04-08",0,"Ages 25-49"
"67","Alamance","2020-04-09",0,"Ages 25-49"
"68","Alamance","2020-12-10",0,"Ages 25-49"
"69","Alamance","2020-12-11",0,"Ages 25-49"
"70","Alamance","2020-12-12",0,"Ages 25-49"
"71","Alamance","2020-12-13",1,"Ages 25-49"
"72","Alamance","2020-12-14",1,"Ages 25-49"
"73","Alamance","2020-12-15",0,"Ages 25-49"
"74","Alamance","2020-07-08",0,"Ages 25-49"
"75","Alamance","2020-07-09",0,"Ages 25-49"
"76","Alamance","2020-04-18",0,"Ages 25-49"
"77","Alamance","2020-04-19",0,"Ages 25-49"
"78","Alamance","2020-04-20",0,"Ages 25-49"
"79","Alamance","2020-04-21",0,"Ages 25-49"
"80","Alamance","2020-07-14",0,"Ages 25-49"
"81","Alamance","2020-07-15",0,"Ages 25-49"
