"","County","total_deaths0.17","total_deaths18.24","total_deaths25.49","total_deaths50.64","total_deaths65.74","total_deaths75p","total_deathsSM","total_deaths_all"
"1","Alamance",0,0,11,22,46,109,0,188
"2","Alexander",0,0,0,11,7,29,0,47
"3","Alleghany",0,0,0,0,0,0,0,0
"4","Anson",0,0,1,5,5,9,0,20
"5","Ashe",0,0,0,0,0,0,0,0
"6","Avery",0,0,0,0,9,13,0,22
"7","Beaufort",0,0,1,8,16,35,0,60
"8","Bertie",0,0,0,0,1,2,0,3
"9","Bladen",0,0,0,0,2,1,0,3
"10","Brunswick",0,0,7,8,29,42,0,86
"11","Buncombe",0,0,13,31,47,194,0,285
"12","Burke",0,0,4,15,19,58,0,96
"13","Cabarrus",0,0,17,41,67,112,0,237
"14","Caldwell",0,0,1,11,17,27,0,56
"15","Camden",0,0,0,0,0,0,0,0
"16","Carteret",0,0,0,2,2,4,6,14
"17","Caswell",0,0,0,0,0,0,0,0
"18","Catawba",0,0,6,49,73,140,0,268
"19","Chatham",0,0,0,2,12,25,0,39
"20","Cherokee",0,0,0,0,0,5,1,6
"21","Chowan",0,0,0,0,1,5,0,6
"22","Clay",0,0,0,0,0,0,0,0
"23","Cleveland",0,0,11,36,79,141,0,267
"24","Columbus",0,0,4,34,31,47,0,116
"25","Craven",0,0,10,17,36,46,0,109
"26","Cumberland",0,2,12,45,67,103,0,229
"27","Currituck",0,0,0,0,0,0,0,0
"28","Dare",0,0,0,0,0,0,2,2
"29","Davidson",0,0,5,4,32,62,0,103
"30","Davie",0,0,0,0,0,0,0,0
"31","Duplin",0,0,3,15,23,24,0,65
"32","Durham",3,0,10,47,62,112,0,234
"33","Edgecombe",0,0,1,11,10,39,0,61
"34","Forsyth",0,0,20,80,83,206,0,389
"35","Franklin",0,0,0,2,8,18,0,28
"36","Gaston",0,0,24,84,115,206,0,429
"37","Gates",0,0,0,2,0,1,0,3
"38","Graham",0,0,0,0,0,0,0,0
"39","Granville",0,0,0,9,14,25,0,48
"40","Greene",0,0,0,2,6,16,0,24
"41","Guilford",0,3,40,95,147,369,0,654
"42","Halifax",0,0,0,9,16,27,0,52
"43","Harnett",0,0,13,22,27,39,0,101
"44","Haywood",0,0,0,8,12,53,0,73
"45","Henderson",0,0,7,13,25,82,0,127
"46","Hertford",0,0,4,4,6,20,0,34
"47","Hoke",0,0,1,7,5,7,0,20
"48","Hyde",0,0,0,0,0,0,1,1
"49","Iredell",0,0,3,24,36,70,0,133
"50","Jackson",0,0,4,4,7,15,0,30
"51","Johnston",0,0,8,21,50,86,0,165
"52","Jones",0,0,0,0,4,4,0,8
"53","Lee",0,0,3,7,6,24,0,40
"54","Lenoir",0,0,3,13,36,41,0,93
"55","Lincoln",0,0,0,0,5,7,0,12
"56","Macon",0,0,0,0,0,0,0,0
"57","Madison",0,0,0,0,1,5,0,6
"58","Martin",0,0,0,0,0,0,0,0
"59","McDowell",0,0,0,9,14,16,0,39
"60","Mecklenburg",0,9,92,205,236,489,0,1031
"61","Mitchell",0,0,0,0,0,0,0,0
"62","Montgomery",0,0,2,5,8,14,0,29
"63","Moore",0,0,3,9,11,73,0,96
"64","Nash",0,0,5,42,52,91,0,190
"65","New Hanover",0,0,0,10,41,67,0,118
"66","Northampton",0,0,0,2,7,12,0,21
"67","Onslow",0,0,13,18,33,53,0,117
"68","Orange",0,0,0,7,9,45,0,61
"69","Pamlico",0,0,0,0,0,0,0,0
"70","Pasquotank",0,0,0,6,6,39,0,51
"71","Pender",0,0,0,4,6,13,0,23
"72","Perquimans",0,0,0,0,0,0,0,0
"73","Person",0,0,0,2,6,11,0,19
"74","Pitt",0,0,0,5,12,18,0,35
"75","Polk",0,0,0,0,0,3,1,4
"76","Randolph",0,0,23,32,60,100,0,215
"77","Richmond",0,0,0,6,13,13,0,32
"78","Robeson",0,0,17,40,64,94,0,215
"79","Rockingham",0,0,2,7,16,39,0,64
"80","Rowan",0,0,11,40,65,188,0,304
"81","Rutherford",0,0,5,30,44,107,0,186
"82","Sampson",0,0,7,9,16,26,0,58
"83","Scotland",0,0,0,5,18,33,0,56
"84","Stanly",0,0,0,3,10,45,0,58
"85","Stokes",0,0,0,4,12,24,0,40
"86","Surry",0,0,1,12,17,74,0,104
"87","Swain",0,0,0,0,0,0,0,0
"88","Transylvania",0,0,0,0,0,0,0,0
"89","Tyrrell",0,0,0,0,0,0,1,1
"90","Union",0,4,11,42,42,81,0,180
"91","Vance",0,0,0,15,22,39,0,76
"92","Wake",0,2,34,95,153,403,0,687
"93","Warren",0,0,0,0,0,0,0,0
"94","Washington",0,0,0,0,1,2,0,3
"95","Watauga",0,0,0,1,1,11,0,13
"96","Wayne",0,0,13,46,60,101,0,220
"97","Wilkes",0,0,8,11,16,49,0,84
"98","Wilson",0,0,3,16,40,52,0,111
"99","Yadkin",0,1,0,2,6,10,0,19
"100","Yancey",0,0,0,2,6,8,0,16
